0x1f602,0.247,0.285,0.468,0.221
0x2764,0.044,0.166,0.79,0.746
0x2665,0.035,0.272,0.693,0.657
0x1f60d,0.052,0.219,0.729,0.678
0x1f62d,0.436,0.22,0.343,-0.093
0x1f618,0.053,0.193,0.754,0.701
0x1f60a,0.06,0.237,0.704,0.644
0x1f44c,0.094,0.249,0.657,0.563
0x1f495,0.042,0.285,0.674,0.632
0x1f44f,0.104,0.271,0.624,0.52
0x1f601,0.127,0.296,0.577,0.449
0x263a,0.062,0.218,0.72,0.657
0x2661,0.052,0.227,0.721,0.669
0x1f44d,0.115,0.248,0.637,0.521
0x1f629,0.591,0.186,0.223,-0.368
0x1f64f,0.081,0.421,0.498,0.417
0x270c,0.113,0.31,0.576,0.463
0x1f60f,0.112,0.444,0.444,0.332
0x1f609,0.1,0.337,0.563,0.463
0x1f64c,0.101,0.238,0.661,0.559
0x1f648,0.164,0.241,0.596,0.432
0x1f4aa,0.072,0.301,0.627,0.555
0x1f604,0.137,0.305,0.558,0.421
0x1f612,0.591,0.192,0.217,-0.374
0x1f483,0.045,0.177,0.779,0.734
0x1f496,0.043,0.201,0.755,0.712
0x1f603,0.072,0.299,0.629,0.557
0x1f614,0.464,0.219,0.318,-0.146
0x1f631,0.264,0.282,0.454,0.19
0x1f389,0.039,0.184,0.777,0.738
0x1f61c,0.112,0.322,0.566,0.455
0x262f,0.006,0.987,0.007,0.001
0x1f338,0.04,0.27,0.69,0.65
0x1f49c,0.045,0.257,0.699,0.654
0x1f499,0.033,0.204,0.763,0.73
0x2728,0.052,0.545,0.403,0.351
0x1f633,0.327,0.327,0.345,0.018
0x1f497,0.051,0.241,0.708,0.657
0x2605,0.031,0.655,0.314,0.283
0x2588,0.09,0.853,0.057,-0.032
0x2600,0.028,0.479,0.493,0.465
0x1f621,0.532,0.108,0.36,-0.173
0x1f60e,0.106,0.297,0.597,0.491
0x1f622,0.384,0.225,0.391,0.007
0x1f48b,0.039,0.231,0.73,0.691
0x1f60b,0.046,0.277,0.677,0.631
0x1f64a,0.135,0.272,0.593,0.459
0x1f634,0.422,0.237,0.341,-0.08
0x1f3b6,0.097,0.27,0.634,0.537
0x1f49e,0.041,0.18,0.78,0.739
0x1f60c,0.141,0.237,0.623,0.482
0x1f525,0.124,0.613,0.263,0.139
0x1f4af,0.281,0.317,0.402,0.12
0x1f52b,0.493,0.209,0.298,-0.194
0x1f49b,0.043,0.205,0.752,0.709
0x1f481,0.192,0.29,0.518,0.326
0x1f49a,0.078,0.189,0.733,0.656
0x266b,0.063,0.586,0.351,0.287
0x1f61e,0.479,0.161,0.361,-0.118
0x1f606,0.155,0.281,0.564,0.409
0x1f61d,0.132,0.313,0.555,0.423
0x1f62a,0.431,0.219,0.351,-0.08
0xfffd,0.166,0.581,0.253,0.086
0x1f62b,0.485,0.174,0.34,-0.145
0x1f605,0.292,0.237,0.471,0.178
0x1f44a,0.265,0.243,0.492,0.228
0x1f480,0.468,0.27,0.261,-0.207
0x1f600,0.086,0.26,0.654,0.568
0x1f61a,0.049,0.192,0.759,0.71
0x1f63b,0.069,0.243,0.688,0.619
0xa9,0.131,0.621,0.248,0.117
0x1f440,0.228,0.482,0.291,0.063
0x1f498,0.048,0.221,0.731,0.683
0x1f413,0.109,0.755,0.137,0.028
0x2615,0.14,0.475,0.384,0.244
0x1f44b,0.158,0.27,0.571,0.413
0x270b,0.328,0.218,0.454,0.126
0x1f38a,0.057,0.164,0.779,0.721
0x1f355,0.056,0.47,0.473,0.417
0x2744,0.099,0.295,0.605,0.506
0x1f625,0.317,0.244,0.439,0.122
0x1f615,0.601,0.195,0.204,-0.397
0x1f4a5,0.072,0.708,0.22,0.148
0x1f494,0.414,0.293,0.293,-0.121
0x1f624,0.479,0.252,0.27,-0.209
0x1f608,0.204,0.326,0.47,0.265
0x25ba,0.125,0.588,0.287,0.162
0x2708,0.043,0.498,0.458,0.415
0x1f51d,0.088,0.35,0.562,0.474
0x1f630,0.436,0.148,0.416,-0.02
0x26bd,0.053,0.278,0.669,0.616
0x1f611,0.513,0.285,0.202,-0.311
0x1f451,0.043,0.219,0.738,0.694
0x1f639,0.299,0.262,0.44,0.141
0x1f449,0.071,0.468,0.461,0.39
0x1f343,0.102,0.418,0.48,0.378
0x1f381,0.041,0.158,0.801,0.759
0x1f620,0.564,0.172,0.265,-0.299
0x1f427,0.042,0.46,0.498,0.456
0x2606,0.032,0.509,0.46,0.428
0x1f340,0.025,0.665,0.31,0.285
0x1f388,0.018,0.246,0.736,0.718
0x1f385,0.029,0.625,0.347,0.318
0x1f613,0.431,0.217,0.351,-0.08
0x1f623,0.54,0.131,0.328,-0.212
0x1f610,0.553,0.282,0.165,-0.388
0x270a,0.139,0.293,0.568,0.429
0x1f628,0.434,0.272,0.294,-0.14
0x1f616,0.483,0.188,0.328,-0.155
0x1f4a4,0.144,0.341,0.515,0.37
0x1f493,0.061,0.214,0.725,0.664
0x1f44e,0.494,0.199,0.307,-0.188
0x1f4a6,0.141,0.247,0.612,0.471
0x2714,0.127,0.476,0.397,0.27
0x1f637,0.474,0.221,0.305,-0.169
0x26a1,0.044,0.735,0.221,0.177
0x1f64b,0.13,0.255,0.615,0.485
0x1f384,0.067,0.335,0.598,0.531
0x1f4a9,0.409,0.297,0.293,-0.116
